Time,Cores,Active
22600,small,2
22600,medium,2
22600,large,3
22700,small,2
22700,medium,0
22700,large,2
22800,small,2
22800,medium,0
22800,large,2
22900,small,2
22900,medium,0
22900,large,2
23000,small,2
23000,medium,0
23000,large,2
23100,small,2
23100,medium,1
23100,large,2
23200,small,2
23200,medium,2
23200,large,2
23300,small,2
23300,medium,2
23300,large,2
23400,small,1
23400,medium,0
23400,large,3
23500,small,0
23500,medium,0
23500,large,0
23600,small,0
23600,medium,0
23600,large,0
23700,small,0
23700,medium,0
23700,large,0
23800,small,2
23800,medium,1
23800,large,2
23900,small,2
23900,medium,1
23900,large,2
24000,small,2
24000,medium,2
24000,large,3
24100,small,2
24100,medium,0
24100,large,2
24200,small,2
24200,medium,0
24200,large,2
24300,small,2
24300,medium,0
24300,large,2
24400,small,2
24400,medium,0
24400,large,2
24500,small,2
24500,medium,1
24500,large,2
24600,small,2
24600,medium,2
24600,large,2
24700,small,2
24700,medium,2
24700,large,2
24800,small,2
24800,medium,2
24800,large,2
24900,small,2
24900,medium,0
24900,large,3
25000,small,2
25000,medium,0
25000,large,3
25100,small,2
25100,medium,0
25100,large,3
25200,small,0
25200,medium,0
25200,large,0
25300,small,0
25300,medium,0
25300,large,0
25400,small,2
25400,medium,0
25400,large,3
25500,small,2
25500,medium,0
25500,large,3
25600,small,2
25600,medium,0
25600,large,3
25700,small,0
25700,medium,0
25700,large,0
25800,small,0
25800,medium,0
25800,large,0
25900,small,2
25900,medium,0
25900,large,3
26000,small,2
26000,medium,0
26000,large,3
26100,small,2
26100,medium,0
26100,large,3
26200,small,2
26200,medium,0
26200,large,3
26300,small,2
26300,medium,0
26300,large,3
26400,small,2
26400,medium,0
26400,large,3
26500,small,2
26500,medium,0
26500,large,3
26600,small,0
26600,medium,0
26600,large,0
26700,small,0
26700,medium,0
26700,large,0
26800,small,2
26800,medium,0
26800,large,3
26900,small,2
26900,medium,2
26900,large,2
27000,small,2
27000,medium,2
27000,large,2
27100,small,1
27100,medium,0
27100,large,3
27200,small,2
27200,medium,0
27200,large,3
27300,small,2
27300,medium,0
27300,large,3
27400,small,0
27400,medium,0
27400,large,0
27500,small,2
27500,medium,1
27500,large,2
27600,small,0
27600,medium,0
27600,large,0
27700,small,2
27700,medium,1
27700,large,2
27800,small,2
27800,medium,1
27800,large,2
27900,small,2
27900,medium,0
27900,large,3
28000,small,2
28000,medium,2
28000,large,3
28100,small,2
28100,medium,0
28100,large,2
28200,small,2
28200,medium,0
28200,large,2
28300,small,0
28300,medium,0
28300,large,0
28400,small,0
28400,medium,0
28400,large,0
28500,small,2
