Time (MS),Core Type,Frequency
7900,large1,2401000
7900,large2,0
8000,small 1,1598000
8000,small 2,0
8000,small 3,0
8000,small 4,0
8000,medium1,1663000
8000,medium2,1663000
8000,large1,2507000
8000,large2,0
8100,small 1,1803000
8100,small 2,1803000
8100,small 3,0
8100,small 4,0
8100,medium1,1663000
8100,medium2,1663000
8100,large1,2704000
8100,large2,0
8200,small 1,1803000
8200,small 2,1803000
8200,small 3,0
8200,small 4,0
8200,medium1,1663000
8200,medium2,1663000
8200,large1,2704000
8200,large2,0
8300,small 1,930000
8300,small 2,930000
8300,small 3,930000
8300,small 4,0
8300,medium1,799000
8300,medium2,0
8300,large1,851000
8300,large2,0
8400,small 1,930000
8400,small 2,930000
8400,small 3,930000
8400,small 4,0
8400,medium1,799000
8400,medium2,0
8400,large1,851000
8400,large2,0
8500,small 1,738000
8500,small 2,738000
8500,small 3,738000
8500,small 4,0
8500,medium1,910000
8500,medium2,910000
8500,large1,1106000
8500,large2,0
8600,small 1,738000
8600,small 2,738000
8600,small 3,738000
8600,small 4,0
8600,medium1,1197000
8600,medium2,0
8600,large1,500000
8600,large2,500000
8700,small 1,930000
8700,small 2,930000
8700,small 3,0
8700,small 4,0
8700,medium1,799000
8700,medium2,0
8700,large1,1582000
8700,large2,0
8800,small 1,738000
8800,small 2,738000
8800,small 3,738000
8800,small 4,0
8800,medium1,1197000
8800,medium2,0
8800,large1,500000
8800,large2,500000
8900,small 1,930000
8900,small 2,930000
8900,small 3,0
8900,small 4,0
8900,medium1,799000
8900,medium2,0
8900,large1,1582000
8900,large2,0
9000,small 1,930000
9000,small 2,930000
9000,small 3,0
9000,small 4,0
9000,medium1,1663000
9000,medium2,0
9000,large1,500000
9000,large2,0
9100,small 1,300000
9100,small 2,300000
9100,small 3,300000
9100,small 4,0
9100,medium1,1836000
9100,medium2,0
9100,large1,500000
9100,large2,0
9200,small 1,1328000
9200,small 2,1328000
9200,small 3,1328000
9200,small 4,0
9200,medium1,2130000
9200,medium2,0
9200,large1,1106000
9200,large2,0
9300,small 1,1328000
9300,small 2,1328000
9300,small 3,1328000
9300,small 4,0
9300,medium1,2130000
9300,medium2,0
9300,large1,1106000
9300,large2,0
9400,small 1,1803000
9400,small 2,1803000
9400,small 3,1803000
9400,small 4,0
9400,medium1,553000
9400,medium2,0
9400,large1,2401000
9400,large2,0
9500,small 1,1803000
9500,small 2,1803000
9500,small 3,1803000
9500,small 4,0
9500,medium1,553000
9500,medium2,0
9500,large1,2401000
9500,large2,0
9600,small 1,1598000
9600,small 2,0
9600,small 3,0
9600,small 4,0
9600,medium1,1663000
9600,medium2,1663000
9600,large1,2507000
9600,large2,0
9700,small 1,738000
9700,small 2,738000
9700,small 3,738000
9700,small 4,0
9700,medium1,910000
9700,medium2,910000
9700,large1,1106000
9700,large2,0
9800,small 1,930000
9800,small 2,930000
9800,small 3,930000
9800,small 4,0
9800,medium1,799000
9800,medium2,0
9800,large1,851000
9800,large2,0
9900,small 1,738000
9900,small 2,738000
9900,small 3,0
9900,small 4,0
9900,medium1,910000
9900,medium2,910000
9900,large1,500000
9900,large2,0
10000,small 1,738000
10000,small 2,738000
10000,small 3,738000
10000,small 4,0
10000,medium1,1197000
10000,medium2,0
10000,large1,500000
10000,large2,500000
10100,small 1,1598000
10100,small 2,0
10100,small 3,0
10100,small 4,0
10100,medium1,1663000
10100,medium2,1663000
10100,large1,2507000
10100,large2,0
10200,small 1,1803000
10200,small 2,1803000
10200,small 3,1803000
10200,small 4,0
10200,medium1,553000
10200,medium2,0
10200,large1,2401000
10200,large2,0
10300,small 1,1803000
10300,small 2,1803000
10300,small 3,1803000
10300,small 4,0
10300,medium1,553000
10300,medium2,0
10300,large1,2401000
10300,large2,0
10400,small 1,1803000
10400,small 2,1803000
10400,small 3,0
10400,small 4,0
10400,medium1,1663000
10400,medium2,1663000
10400,large1,2704000
10400,large2,0
10500,small 1,1598000
10500,small 2,0
10500,small 3,0
10500,small 4,0
10500,medium1,1663000
10500,medium2,1663000
10500,large1,2507000
10500,large2,0
10600,small 1,1803000
10600,small 2,1803000
10600,small 3,0
10600,small 4,0
10600,medium1,1663000
10600,medium2,1663000
10600,large1,2704000
10600,large2,0
10700,small 1,1803000
10700,small 2,1803000
10700,small 3,0
10700,small 4,0
10700,medium1,1663000
10700,medium2,1663000
10700,large1,2704000
10700,large2,0
10800,small 1,1803000
10800,small 2,1803000
10800,small 3,0
10800,small 4,0
10800,medium1,1663000
10800,medium2,1663000
10800,large1,2704000
10800,large2,0
10900,small 1,1803000
10900,small 2,1803000
10900,small 3,0
10900,small 4,0
10900,medium1,1663000
10900,medium2,1663000
10900,large1,2704000
10900,large2,0
11000,small 1,1803000
11000,small 2,1803000
11000,small 3,0
11000,small 4,0
11000,medium1,1663000
11000,medium2,1663000
11000,large1,2704000
11000,large2,0
11100,small 1,1803000
11100,small 2,1803000
11100,small 3,0
11100,small 4,0
11100,medium1,1663000
11100,medium2,1663000
11100,large1,2704000
11100,large2,0
11200,small 1,1803000
11200,small 2,1803000
11200,small 3,0
11200,small 4,0
11200,medium1,1663000
11200,medium2,1663000
11200,large1,2704000
11200,large2,0
11300,small 1,1803000
11300,small 2,1803000
11300,small 3,0
11300,small 4,0
11300,medium1,1663000
11300,medium2,1663000
11300,large1,2704000
11300,large2,0
11400,small 1,1803000
11400,small 2,1803000
11400,small 3,0
11400,small 4,0
11400,medium1,1663000
11400,medium2,1663000
11400,large1,2704000
11400,large2,0
11500,small 1,1803000
11500,small 2,1803000
11500,small 3,0
11500,small 4,0
11500,medium1,1663000
11500,medium2,1663000
11500,large1,2704000
11500,large2,0
11600,small 1,1803000
11600,small 2,1803000
11600,small 3,0
11600,small 4,0
11600,medium1,1663000
11600,medium2,1663000
11600,large1,2704000
11600,large2,0
11700,small 1,1803000
11700,small 2,1803000
11700,small 3,0
11700,small 4,0
11700,medium1,1663000
11700,medium2,1663000
11700,large1,2704000
11700,large2,0
11800,small 1,1803000
11800,small 2,1803000
11800,small 3,0
11800,small 4,0
11800,medium1,1663000
11800,medium2,1663000
11800,large1,2704000
11800,large2,0
11900,small 1,930000
11900,small 2,930000
11900,small 3,930000
11900,small 4,0
11900,medium1,799000
11900,medium2,0
11900,large1,851000
11900,large2,0
12000,small 1,930000
12000,small 2,930000
12000,small 3,930000
12000,small 4,0
12000,medium1,799000
12000,medium2,0
12000,large1,851000
12000,large2,0
12100,small 1,738000
12100,small 2,738000
12100,small 3,738000
12100,small 4,0
12100,medium1,1197000
12100,medium2,0
12100,large1,500000
12100,large2,500000
12200,small 1,930000
12200,small 2,930000
12200,small 3,0
12200,small 4,0
12200,medium1,799000
12200,medium2,0
12200,large1,1582000
12200,large2,0
12300,small 1,930000
12300,small 2,930000
12300,small 3,0
12300,small 4,0
12300,medium1,799000
12300,medium2,0
12300,large1,1582000
12300,large2,0
12400,small 1,930000
12400,small 2,930000
12400,small 3,0
12400,small 4,0
12400,medium1,799000
12400,medium2,0
12400,large1,1582000
12400,large2,0
12500,small 1,930000
12500,small 2,930000
12500,small 3,0
12500,small 4,0
12500,medium1,1663000
12500,medium2,0
12500,large1,500000
12500,large2,0
12600,small 1,300000
12600,small 2,300000
12600,small 3,300000
12600,small 4,0
12600,medium1,1836000
12600,medium2,0
12600,large1,500000
12600,large2,0
12700,small 1,1328000
12700,small 2,1328000
12700,small 3,1328000
12700,small 4,0
12700,medium1,2130000
12700,medium2,0
12700,large1,1106000
12700,large2,0
12800,small 1,1328000
12800,small 2,1328000
12800,small 3,1328000
12800,small 4,0
12800,medium1,2130000
12800,medium2,0
12800,large1,1106000
12800,large2,0
12900,small 1,1803000
12900,small 2,1803000
12900,small 3,1803000
12900,small 4,0
12900,medium1,553000
12900,medium2,0
12900,large1,2401000
12900,large2,0
13000,small 1,1803000
13000,small 2,1803000
13000,small 3,0
13000,small 4,0
13000,medium1,1663000
13000,medium2,1663000
13000,large1,2704000
13000,large2,0
13100,small 1,930000
13100,small 2,930000
13100,small 3,930000
13100,small 4,0
13100,medium1,799000
13100,medium2,0
13100,large1,851000
13100,large2,0
