Time (MS),Core Type,Frequency
14700,small,930000.0
14700,medium, 799000.0
14700,large, 1582000.0
14800,small,930000.0
14800,medium, 1663000.0
14800,large, 500000.0
14900,small,300000.0
14900,medium, 1836000.0
14900,large, 500000.0
15000,small,1328000.0
15000,medium, 2130000.0
15000,large, 1106000.0
15100,small,1803000.0
15100,medium, 553000.0
15100,large, 2401000.0
15200,small,1803000.0
15200,medium, 553000.0
15200,large, 2401000.0
15300,small,930000.0
15300,medium, 799000.0
15300,large, 851000.0
15400,small,930000.0
15400,medium, 799000.0
15400,large, 851000.0
15500,small,738000.0
15500,medium, 1197000.0
15500,large, 500000.0
15600,small,1328000.0
15600,medium, 2130000.0
15600,large, 1106000.0
15700,small,930000.0
15700,medium, 1663000.0
15700,large, 500000.0
15800,small,300000.0
15800,medium, 1836000.0
15800,large, 500000.0
15900,small,1328000.0
15900,medium, 2130000.0
15900,large, 1106000.0
16000,small,1328000.0
16000,medium, 2130000.0
16000,large, 1106000.0
16100,small,1803000.0
16100,medium, 553000.0
16100,large, 2401000.0
16200,small,930000.0
16200,medium, 799000.0
16200,large, 851000.0
16300,small,930000.0
16300,medium, 799000.0
16300,large, 851000.0
16400,small,930000.0
16400,medium, 799000.0
16400,large, 851000.0
16500,small,738000.0
16500,medium, 910000.0
16500,large, 1106000.0
16600,small,930000.0
16600,medium, 799000.0
16600,large, 1582000.0
16700,small,930000.0
16700,medium, 799000.0
16700,large, 1582000.0
16800,small,300000.0
16800,medium, 1836000.0
16800,large, 500000.0
16900,small,1328000.0
16900,medium, 2130000.0
16900,large, 1106000.0
17000,small,1328000.0
17000,medium, 2130000.0
17000,large, 1106000.0
17100,small,1803000.0
17100,medium, 553000.0
17100,large, 2401000.0
17200,small,1598000.0
17200,medium, 1663000.0
17200,large, 2507000.0
17300,small,1803000.0
17300,medium, 1663000.0
17300,large, 2704000.0
17400,small,1803000.0
17400,medium, 1663000.0
17400,large, 2704000.0
17500,small,1803000.0
17500,medium, 1663000.0
17500,large, 2704000.0
17600,small,1803000.0
17600,medium, 1663000.0
17600,large, 2704000.0
17700,small,1803000.0
17700,medium, 1663000.0
17700,large, 2704000.0
